,Feature,Coefficient,Importance
3,arrival_is_estimated,-0.7027726022495976,0.7027726022495976
5,passengers_continue_menupach,0.675954913304084,0.675954913304084
19,arrival_is_estimated passengers_continue_menupach,-0.4421196418121876,0.4421196418121876
4,mekadem_nipuach_luz,-0.21970065554700915,0.21970065554700915
7,latitude direction,-0.16754267490383754,0.16754267490383754
18,arrival_is_estimated mekadem_nipuach_luz,0.1590658033138301,0.1590658033138301
10,latitude passengers_continue_menupach,-0.09852865399019503,0.09852865399019503
0,latitude,-0.0816394843585689,0.0816394843585689
20,mekadem_nipuach_luz passengers_continue_menupach,-0.054839531320327047,0.054839531320327047
14,longitude passengers_continue_menupach,0.043791122146269436,0.043791122146269436
