trip_id_unique_station,passengers_up
312155b13,2
313311c3,0
315174c30,1
122483a31,0
121633a8,0
111285b19,1
315932a22,1
414518a27,0
312984a14,4
120275a37,0
212840c13,3
314875c30,2
211796b24,1
311485a19,0
314434a19,1
315236a33,1
415445a2,5
321456a38,0
218955a3,2
311161c49,0
313698c36,0
122385a23,1
310640c9,0
311942c39,1
115455c34,0
220984a28,1
315873a11,3
111302c41,2
311295c26,0
310430a36,1
315317c5,0
115177c4,5
218498a12,2
415344a20,1
115437c27,0
310102c39,0
312214c23,0
219207a33,2
110104b22,0
111146c30,0
314296a49,0
221297a22,2
313803c27,2
110905c1,1
220882a11,2
310709c13,1
110202b6,0
310442a32,1
110440c28,2
313529c17,0
317376a23,0
119667a21,0
313461c22,2
310323c10,0
416725a24,7
120708a40,0
211602b19,2
111700c37,0
113845c37,0
312957a11,0
414042a22,2
120611a13,0
122492a25,0
213289c2,0
310280a37,2
310138b27,2
110730b27,0
220992a31,1
111818c4,0
122329a9,0
313440c26,2
314322c20,0
310221c11,1
119684a24,0
219096a1,0
315306a31,0
315579a36,2
210886b10,0
314183c38,0
113735c8,4
317453a23,0
112753c13,1
311560a19,2
310549c27,0
310123b32,1
313172c24,1
111806c28,3
317245a31,0
112399c16,0
311359a43,0
110101b25,0
311671c20,1
312792a43,3
310293b6,0
313071c4,0
120562a30,2
311324c2,0
115224c16,2
112161c33,1
214092c10,0
314343c12,0
319017a22,1
315218c12,0
314062a13,0
311682a7,1
118956a13,2
115546c14,1
311366a20,6
310225c23,2
118742a15,0
313843c17,0
219211a6,1
312985a11,2
110004c2,0
211402b36,1
414034a22,2
119712a27,0
314809c8,0
313463c16,1
314450a32,0
115252c6,2
111454b15,0
312254b45,0
112018c15,0
310424b14,1
111654c8,1
211594c4,1
110201b2,0
218983a49,0
312978a10,1
312423c22,1
314453a23,2
115441c15,3
413924a10,3
110366b9,0
416987a19,0
313672c43,0
211440b7,0
122484a35,0
121761a33,3
218481a12,0
221238a13,0
110402b16,1
110536c39,0
119706a11,0
219096a47,1
222561a36,0
411035a6,3
310892c34,2
311529a25,2
221238a15,1
311624b24,2
219583a45,1
111316c31,0
311186c32,3
312446c14,0
111459b20,0
311412a23,1
122497a6,0
218435a21,4
312316b2,1
211600b25,3
121332a41,1
217924a2,2
218942a41,0
218885a36,1
219819a15,11
311005b19,0
219095a52,0
111272b2,1
211812b26,0
312794a18,2
212387c15,10
416726a4,0
314431a19,2
322260a14,1
311710b25,1
419506a23,1
416999a7,3
311159b24,3
312359a18,1
312241c24,2
218854a54,1
120294a15,1
110824c9,0
312406c50,0
119853a23,0
311340b20,1
221295a13,1
221295a20,0
214092c8,0
110716b9,2
218482a14,0
314591a7,2
213413c13,5
220009a5,2
319552a38,0
218880a15,2
410890a6,7
310995a30,1
312025b13,0
213418a5,1
118352a9,0
311632b37,0
313359c32,1
121502a27,2
119297a39,0
315374c33,6
110841b5,0
311501b28,0
312451c52,0
312792a32,4
222571a4,3
112492c44,0
210044b23,1
120606a9,0
210876b2,0
113973c23,3
315856a44,2
119962a17,1
314432c19,0
120180a18,0
211170c34,0
220023a19,0
118211a32,3
310698c8,2
110938b33,1
320785a28,1
216821a5,0
314004c25,3
120924a17,2
211382b24,1
112008c17,0
111339c19,1
311528a52,0
119362a16,0
313604c8,2
415606a1,0
115530c40,0
410221a24,0
110745b38,0
211201b36,1
112865c10,0
315789a7,2
310280b44,0
113239c31,0
320894a29,1
115519c37,0
315572a2,1
313828c37,0
311795c37,0
312931c19,0
111637b24,0
314154c14,0
111697c18,1
314360a19,5
313485c10,0
312792a23,2
111691c2,0
317414a48,0
311725b38,1
315929a39,1
211052a24,3
310219c35,0
315116c10,4
218907a23,0
314468a25,4
313168a17,2
213780a2,0
210220b18,3
221365a9,0
314808c29,0
312381c38,3
219775a20,2
317372a30,0
111339c10,0
311189c31,3
311628b41,1
220600a26,2
310168b20,5
419910a24,0
412484a5,1
220600a25,2
313916c34,1
115509c27,0
111245b33,0
319017a48,0
315935a47,0
417052a22,1
221298a17,1
214533c4,0
313788c29,1
313144c12,2
119387a17,0
312962a29,0
220230a25,1
314686c39,2
118131a11,0
313763c19,0
211981c10,2
314708c34,1
312378c11,3
110007c24,4
210319b19,7
211599c1,0
314250a6,2
219214a3,3
313139c40,1
320781a5,1
219031a19,1
311548b41,1
310463a25,2
114142a57,0
222567a6,0
312926a53,1
314344c35,0
311370b32,4
413663a22,3
112776c40,0
315031c15,0
315301a12,0
211431b14,0
111235c22,2
217930a31,2
312099c46,0
218909a24,3
221045a7,3
310855b15,4
312614c27,2
210454b28,0
119419a9,1
413740a3,1
314123c18,3
311791c4,0
221112a7,3
120048a28,4
314037c23,0
313226c4,1
312810c31,0
113589c25,0
110964b1,1
120823a44,0
219255a2,0
216850a8,4
315581c4,0
312101c33,0
211823b23,1
312727c14,0
110205b21,0
314928c44,1
317140a11,1
211464c11,0
310948a15,1
419929a22,0
314154c15,0
119733a19,2
220209a32,0
312619c12,3
211365c3,2
110086b22,0
320218a11,2
221004a20,0
114203c16,2
121495a19,2
120424a5,0
219096a14,0
311342b21,3
314283c16,5
110299a12,2
120249a20,2
111882b1,0
121458a49,0
314643c23,1
312165b52,0
113922c30,1
310614b22,0
110425c48,0
113773c39,1
412823a29,1
310349a24,0
211610b26,5
310283c41,3
311864c23,2
410206a22,0
122224a10,5
316893a20,0
315317c31,1
310162b19,2
212230b25,1
310201c20,1
311298c31,2
312957a13,0
311757c31,2
112018c28,2
212046b26,0
413966a34,1
310199c49,0
111778b34,3
111216c35,3
210713b19,2
310639c19,3
416884a45,3
310219c44,0
410616a8,0
121340a5,1
122484a17,1
412584a5,3
317407a6,0
122348a15,0
213897a10,0
312167b1,0
210340b29,0
214097c12,9
113098c14,3
221018a5,1
314910c31,1
314388a18,5
218041a14,2
313916c33,0
312851a15,0
314982c8,2
122620a5,6
118120a27,0
110663c22,2
311189c1,2
211406b31,2
311293c15,0
314423c30,0
313825c32,0
120972a39,0
115342c15,1
111637b30,0
219782a19,4
310810b23,0
314289c34,1
314592a7,1
311481a32,1
310998c37,0
310887c24,2
321714a49,1
312264c33,3
311659b40,2
312195b27,1
416882a51,0
119394a19,0
416982a9,1
111313c8,2
212092b22,5
118282a34,0
115443c21,3
314245a27,1
121603a33,0
313333c32,1
314284c14,1
112007c39,0
314018c27,0
415110a21,2
312258b33,0
311352b18,3
115544c35,10
115375c31,0
311504b26,3
114327c38,2
114135c46,0
218983a41,0
313466c20,2
311570a26,8
122285a22,1
314031c10,1
311455a10,0
119066a22,0
112640c17,0
311496b36,1
314812c26,1
113582c41,0
313680c17,5
221283a7,0
120927a30,2
111638b16,1
211178b30,1
418786a20,3
314984c28,1
120308a27,0
112350c17,0
312286c30,2
311011b19,2
212060b15,5
118326a24,0
118795a22,0
312249b2,0
413666a30,1
313490c8,0
416886a18,0
115298c20,0
115325c15,1
214484c33,0
210938c23,2
311359a12,2
218955a17,0
115189c22,1
113363c29,8
313751c39,0
111940b25,1
416922a25,1
313445c31,0
314808c23,0
416992a6,5
416729a12,2
211738b30,0
411225a25,0
415169a31,1
222311a27,0
310538c17,2
113583c5,0
312031b30,1
220992a22,0
313009c9,1
310496c14,0
313352c4,0
312657a2,0
317422a15,0
313691c15,0
110692c11,5
222072a2,3
310799c15,4
120924a25,0
310626b20,1
211723c29,1
418781a7,0
312422c2,1
312436c28,2
311269c35,0
314038c15,0
111450b35,0
314058c34,2
314377a17,3
412840a24,1
221048a31,0
113285a9,0
317376a45,0
310402c47,0
312270c26,0
316893a31,0
122728a4,4
212067b19,3
115455c17,2
113240c7,0
112300c33,1
312521c8,0
110085b8,1
212041b35,0
313800c45,0
410990a6,2
212095b31,0
311513b5,0
118345a2,0
311109c22,8
314049c31,0
314153c36,1
212407c14,0
315344c7,1
315260c2,0
222556a14,6
310414b16,9
321323a25,3
310242c11,1
121204a41,0
414637a27,0
110922b51,1
314455a14,6
119632a45,0
411402a38,0
121631a2,0
315796a41,0
421998a17,0
119287a8,0
119297a18,1
311330c12,1
111665b17,2
312152b12,2
313515c21,2
110396b26,0
316084a32,2
415843a38,0
311011b40,0
311936c12,1
111869b17,0
316209a28,3
219028a24,2
110135c49,1
115453c23,3
111443c15,0
311248c43,0
313739c15,2
314244a13,2
120614a7,0
415517a24,0
121643a41,0
312204c33,2
212076b2,1
313313c34,0
110751b23,0
314835c14,1
219235a12,0
115456c24,2
211803b21,2
114059c15,1
114212c34,0
312167b45,3
219794a13,6
120810a17,2
110957c24,0
114140c44,1
310063c18,3
310147a46,2
118306a22,0
118825a24,0
311006b52,0
118807a20,0
414219a30,1
121120a25,0
121142a28,1
312659a39,0
212069b27,1
411404a6,1
314850c38,0
313341c20,1
311005b17,0
221050a13,17
122637a7,0
315344c9,1
419900a4,1
310542c18,2
111712c36,2
311549b33,0
221004a9,0
211220b20,2
417018a8,0
220503a48,0
314520c11,0
314004c29,3
317424a19,2
119395a9,2
219240a16,3
110008c26,1
219585a21,0
110911b27,2
313369c21,1
315236a22,1
214094c17,4
119307a25,1
313007a46,0
310465c36,1
219240a32,1
416418a14,4
417002a31,0
121200a27,6
311651c30,1
213423a24,1
118330a25,1
410987a52,0
311548b33,4
111474b7,0
314159c6,2
317420a37,0
210731c21,2
222402a22,5
421882a14,1
111965b1,0
213058c16,2
112495c15,0
310548c17,0
311681a40,0
314935c29,0
119418a8,0
310626b33,0
314276c36,0
310781c36,0
115298c29,0
212178c20,2
112595c17,0
317455a19,1
210350b7,1
115402c14,0
110959b30,3
110557c35,0
111972b33,1
218095a28,0
321481a26,0
118795a25,3
312930c8,2
313536c46,0
312792a51,2
111471b50,0
315204c25,1
210792c47,0
122504a17,0
111966b7,4
312286c41,0
214068c33,0
220845a4,0
316825a54,0
122729a12,0
313792c16,0
219021a17,11
113971c33,1
311108c34,2
415206a16,1
115039c19,4
312129c46,3
218955a8,2
112512c27,2
317406a7,3
311855c9,2
411139a22,4
220021a26,0
416991a7,2
220150a25,2
110131c25,0
310647c54,0
220234a28,0
410616a17,1
210511b16,2
314585a43,1
120725a26,1
211214b37,0
314244a10,1
310424b1,0
314176c23,1
412241a18,3
218873a23,3
219192a14,1
216809a51,0
410230a24,1
310769c28,0
111243b26,0
311324c44,0
310983c34,5
317309a39,1
311321c17,3
314706c21,0
417018a20,2
314415a25,1
120452a12,3
312451c7,1
310548c4,0
310894c41,1
218548a9,1
311508a36,8
210820b24,0
312404c8,0
310400a22,1
210024c19,2
111878b42,0
219792a20,7
317567a18,0
312931c7,0
314434a57,0
211467a28,1
314787c13,0
120687a18,1
111308c21,2
110366b35,0
312286b9,1
412408a8,0
314307c23,0
314744c19,1
314363a37,2
115266c25,0
110745b25,0
219766a24,2
111644b1,0
415458a30,2
115445c27,2
318811a41,0
115280c15,3
112690a24,0
412242a1,1
122491a38,0
311687c7,0
122292a50,0
217941a10,1
110867c4,0
211563b20,2
110528b27,0
413940a6,2
310297c9,5
111697c25,0
222081a29,3
315572a52,0
419465a23,0
312635c46,0
311758c48,0
313483c20,0
113855c10,3
112762c8,0
119962a2,1
115286c5,0
115147c9,4
413921a14,2
310599c9,2
110259b7,0
221297a32,2
320775a23,2
211994b3,2
312725c32,0
313361c7,2
122224a4,4
115340c14,1
211831b24,0
118131a23,0
211177b22,0
115437c20,2
312911c11,0
221299a18,2
314237a8,0
312741c34,1
316012a38,2
111285b12,0
111480b7,1
120392a40,0
111690b27,0
114588c30,0
112470c19,0
217950a16,1
217928a2,0
413987a11,4
119635a18,0
210492b9,3
222077a15,0
317372a26,0
121441a30,0
110953c5,0
210235b32,1
110751b6,0
110841b36,0
111522b16,0
115479c6,3
221593a16,2
110107b44,0
118564a15,0
110525b30,0
315959a12,0
314192c27,3
311937b20,0
315249c15,3
211578b15,5
110662c39,1
222079a8,0
111666b34,1
310782c6,0
315874a5,1
312905c27,2
210338b19,0
312169c46,1
414550a20,3
220373a5,2
314118c11,0
313013c41,2
111153c22,2
210349b29,2
110258b24,0
415455a5,5
311413a22,2
118550a14,2
120282a4,0
211628c8,2
414091a11,0
219764a28,0
220874a27,3
411735a1,1
118304a4,3
122364a27,0
111915c18,1
212001c25,6
313603c29,0
311325c1,1
311922b34,2
120293a46,0
315031c7,0
217986a20,2
315259c12,1
115363c7,0
312522c42,1
210323b19,2
111277a57,0
110545b11,1
310173c17,1
311533a19,3
312099c5,3
413948a9,1
113391c9,0
220234a24,0
120972a44,0
311186c17,2
220381a22,0
313310c21,0
313009a36,1
115285c6,0
311128c33,3
316739a6,2
220373a7,4
210353b13,0
221569a31,0
211557b9,2
414038a13,1
310451a6,0
210700b35,1
115480c55,0
412528a27,1
112957c22,1
