trip_id,part,trip_id_unique_station,trip_id_unique,line_id,direction,alternative,cluster,station_index,station_id,station_name,arrival_time,door_closing_time,arrival_is_estimated,latitude,longitude,passengers_up,passengers_continue,mekadem_nipuach_luz,passengers_continue_menupach
119289,?,119289a44,119289a,59021,1,#,???? ????? ?????,44,26820,"???""?/?????????",14:45:31,,TRUE,32.13647,34.84405,0,4,3,12
320770,?,320770a42,320770a,19072,2,0,"?????-????""?-?????",42,25780,???????/??' ?? ??????,15:45:06,,TRUE,32.08346,34.77415,0,8,2.5,20
314786,?,314786c1,314786c,14256,2,0,????-????,1,20001,?. ???? ?? ????- ??????/??????,11:03:00,11:04:00,FALSE,32.083157,34.79609,2,2,1.333333333,2.666666667
211835,?,211835b20,211835b,15060,2,0,?????-??? ??,20,22945,?????/???????,8:48:00,8:48:00,FALSE,32.06677,34.78668,0,5,2.166666667,10.83333333
321481,?,321481a18,321481a,11289,1,0,"?????-????""?-?????",18,25632,??? ??????/???????,0:16:00,0:16:00,FALSE,32.07668,34.78131,0,1,2.4,2.4
112798,?,112798c17,112798c,13166,2,0,"?""?-?""?",17,31598,????? ???????/????,21:33:16,,TRUE,32.0739,34.903797,0,4,2.333333333,9.333333333
311514,?,311514b7,311514b,22089,1,0,"?????-????""?-?????",7,20306,???? ????/????? ??????,0:23:12,,TRUE,32.1184,34.82527,0,0,1,0
113923,?,113923c19,113923c,29082,2,0,"?""?-?""?",19,21540,"??? ?'????????/??""?",21:24:00,21:25:00,FALSE,32.089386,34.818382,0,3,3.5,10.5
112171,?,112171c1,112171c,24092,1,0,"?""?-?""?",1,26946,????? ??????,18:16:00,18:21:00,FALSE,32.098763,34.82545,3,3,2.75,8.25
312787,?,312787c8,312787c,36079,1,0,????-????,8,32907,???? ?????/??? ???? ???,21:09:07,,TRUE,32.071854,34.846367,0,1,1.666666667,1.666666667
314759,?,314759c15,314759c,13445,1,0,????-????,15,20506,??? ??? ??????/??????,15:58:37,,TRUE,32.049667,34.783802,0,4,1.333333333,5.333333333
210684,?,210684b30,210684b,27004,2,0,?? ????,30,27246,???????/?? ?????,20:23:00,20:24:00,FALSE,32.09639,34.77606,0,1,0.545454545,0.545454545
113970,?,113970c10,113970c,29082,2,0,"?""?-?""?",10,21100,?????? ????????/??' ???? ????,11:46:00,11:46:00,FALSE,32.07545,34.782272,4,35,2.625,91.875
413750,?,413750a17,413750a,21008,1,2,?????-??? ???,17,26414,"???""?/??? ??????",13:31:00,13:31:00,FALSE,32.0882,34.83032,2,16,0.25,4
310618,?,310618b34,310618b,18010,2,0,"?????-????""?-?????",34,21539,?? ?????/?????,12:41:00,12:41:00,FALSE,32.07377,34.76828,0,11,2.333333333,25.66666667
218478,?,218478a25,218478a,33062,1,0,?? ????,25,21002,???? ???/??? ???? ????,9:51:00,9:51:00,FALSE,32.05969,34.82215,0,2,2.6,5.2
111801,?,111801c4,111801c,15051,2,0,"?""?-?""?",4,23017,?????/?? ???????,12:30:00,12:31:00,FALSE,32.0665,34.786816,4,15,5,75
221464,?,221464a20,221464a,22007,1,0,?? ????,20,26402,??? ?????/????? ?????,20:00:00,20:01:00,FALSE,32.0898,34.82596,11,30,0.666666667,20
210938,?,210938c27,210938c,12161,1,0,?????-??? ???,27,20200,???????/?? ????,11:48:00,11:48:00,FALSE,32.085487,34.829983,0,7,2.833333333,19.83333333
118197,?,118197a19,118197a,11126,1,#,???? ????? ?????,19,33350,????????/?? ???,16:31:00,16:31:00,FALSE,32.02397,34.7656,2,7,2.666666667,18.66666667
314841,?,314841c17,314841c,16115,2,0,????-????,17,21002,???? ???/??? ???? ????,15:56:00,15:56:00,FALSE,32.05969,34.822155,0,6,2.2,13.2
218461,?,218461a4,218461a,21017,1,0,?? ????,4,27228,?????/?????,12:56:00,12:57:00,FALSE,32.06799,34.771,11,11,3,33
121172,?,121172a14,121172a,77015,1,#,???? ????? ?????,14,20310,????? ?????/?????,15:06:00,15:06:00,FALSE,32.04864,34.78112,0,7,3,21
110694,?,110694c11,110694c,19047,2,#,?????,11,26302,?. ???? ???????????/??' ????,22:04:19,,TRUE,32.102783,34.80697,0,12,2.4,28.8
